server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"fdcservers.net - Houston, TX","26652","47.982","16.12","N/A","57647","63433","676700","801616","https://www.speedtest.net/result/c/2020bb75-c431-4305-9620-9f67461df8f3"
"Comcast - Houston, TX","1763","47.806","14.409","N/A","2625561","208276","32669624","2780890","https://www.speedtest.net/result/c/4600ab58-5138-49f8-9304-dfd66cc0e9c1"
"PS Lightwave, Inc - Houston, TX","25206","46.975","6.029","0","66118","64031","835248","931528","https://www.speedtest.net/result/c/56aee388-9450-4594-9b2a-840bc480cd82"
"Tachus Fiber Internet - Kingwood, TX","31015","49.838","2.329","0","63492","65442","699170","824270","https://www.speedtest.net/result/c/237354c2-720c-4d18-a022-bcab53b56f85"
"fdcservers.net - Houston, TX","26652","44.858","4.352","N/A","64590","62631","710640","585650","https://www.speedtest.net/result/c/cfbe2366-90d6-42b1-b1f9-d6bdf3bc4aaf"
"En-Touch Systems Inc. - Houston, TX","11772","43.949","18.668","0","2437503","198042","27841112","1367832","https://www.speedtest.net/result/c/dcd9bb8a-1933-4b8e-bc27-f4e53fafc325"
"Comcast - Houston, TX","1763","43.979","4.799","N/A","2309277","215238","27903122","2743598","https://www.speedtest.net/result/c/3c0adedb-0d23-44c7-ab1e-0fa5d26d547e"
"CenturyLink - Houston, TX","10151","57.97","7.427","0","3056476","230291","37819037","1373220","https://www.speedtest.net/result/c/a1fbeb78-5e66-4bf1-aa6f-512c137556d4"
"PS Lightwave, Inc - Houston, TX","25206","45.074","7.681","0","62667","63935","778570","898456","https://www.speedtest.net/result/c/7e889fef-dded-4a6e-9591-911de41db6db"
"Comcast - Houston, TX","1763","40.165","5.465","N/A","3014087","200865","32970028","2438538","https://www.speedtest.net/result/c/e0752ee7-7f18-4f90-acee-52612e1a7ce6"
"PS Lightwave, Inc - Houston, TX","25206","52.849","4.405","0","58133","63147","609227","803374","https://www.speedtest.net/result/c/45fd09c5-90ff-4e03-9fb2-9e68dc808e9e"
"fdcservers.net - Houston, TX","26652","43.971","6.734","N/A","61184","62080","794065","711048","https://www.speedtest.net/result/c/af6e241f-db3e-49da-a766-45eff2c4e021"
"ICTX WaveMedia - Houston, TX","7340","65.856","6.057","0","629740","255406","7525258","3423380","https://www.speedtest.net/result/c/4be7f884-eaa3-4404-b691-ecd88a00007c"
"fdcservers.net - Houston, TX","26652","56.975","11.269","N/A","61016","62008","807933","683488","https://www.speedtest.net/result/c/b723b8d5-f821-46de-9e6a-95f1896af756"
"fdcservers.net - Houston, TX","26652","43.102","8.805","N/A","55892","62629","691499","839202","https://www.speedtest.net/result/c/cc04f46e-da5d-47bb-8a21-4690bccb730e"
"fdcservers.net - Houston, TX","26652","41.849","4.346","N/A","54432","62471","632902","857886","https://www.speedtest.net/result/c/4e156eb1-9f54-46a5-910f-c8e9e3844aef"
"Tachus Fiber Internet - Kingwood, TX","31015","42.905","9.285","0","63403","74924","731140","943810","https://www.speedtest.net/result/c/97cee8ba-018a-40e5-8957-16843f306d24"
"Comcast - Houston, TX","1763","42.943","6.512","N/A","2592795","187199","24953640","2776680","https://www.speedtest.net/result/c/01121e61-a185-4a7f-b671-637a7dd784f5"
"Comcast - Houston, TX","1763","43.861","4.015","N/A","2558160","197372","25892112","2195240","https://www.speedtest.net/result/c/3e82c7fc-9a3b-409a-ae20-991a4c114e6d"
"fdcservers.net - Houston, TX","26652","40.837","49.687","N/A","66805","62511","886054","714726","https://www.speedtest.net/result/c/38ce821b-ec27-4a88-8fe1-9715c6d86eb4"
"fdcservers.net - Houston, TX","26652","60.927","43.745","N/A","66839","63826","828930","686244","https://www.speedtest.net/result/c/a4ddf80c-2a21-4714-87e5-79feb2ab501b"
"Tachus Fiber Internet - Kingwood, TX","31015","51.002","19.01","0","65354","63278","769292","647740","https://www.speedtest.net/result/c/663e4b8a-e529-448e-9e2f-912321910339"
"PS Lightwave, Inc - Houston, TX","25206","76.982","13.504","0","65867","63027","846343","819910","https://www.speedtest.net/result/c/87870e64-0f0d-4a7e-a976-eaeb51e15f2f"
"Tachus Fiber Internet - Kingwood, TX","31015","41.917","11.544","0","58260","75167","761720","957710","https://www.speedtest.net/result/c/62da16f9-80e2-495e-b84f-6c827f068be7"
"fdcservers.net - Houston, TX","26652","43.002","2.787","N/A","61956","61881","801058","890188","https://www.speedtest.net/result/c/ff066ce6-aab9-4a30-a398-a2ac5b2acaa3"
"fdcservers.net - Houston, TX","26652","54.989","23.566","N/A","58865","62706","759469","735396","https://www.speedtest.net/result/c/f9e448d3-60c6-46b5-a2ff-7f0c756e319a"
"fdcservers.net - Houston, TX","26652","100.935","12.225","N/A","60382","62913","799018","817154","https://www.speedtest.net/result/c/f406330b-e6ad-4990-866b-418e89c7da3e"
"Comcast - Houston, TX","1763","39.9","15.812","N/A","2356836","239821","31349500","3148018","https://www.speedtest.net/result/c/91b7a4cb-0ed9-477c-a614-c942403f9fb7"
